mircx_file,mystic_file,init_diameter
MIRC_L2.2026May01.alf_Vul.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.alf_Vul.MIRCX_IDL.lbd_all.AVG10m.oifits,4.0
MIRC_L2.2026May01.109_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.109_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,3.0
MIRC_L2.2026May01.del_Boo.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.del_Boo.MIRCX_IDL.lbd_all.AVG10m.oifits,3.0
MIRC_L2.2026May01.eta_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.eta_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,3.0
MIRC_L2.2026May01.lam_Her.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.lam_Her.MIRCX_IDL.lbd_all.AVG10m.oifits,3.0
MIRC_L2.2026May01.rho_Ser.MIRCX_IDL.nc5.AVG10m.oifits,MYSTIC_L2.2026May01.rho_Ser.MIRCX_IDL.lbd_all.AVG10m.oifits,3.0
MIRC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,MYSTIC_L2.2025Oct20.ups_Per.MIRCX_IDL.2025Dec14.AVG10m.oifits,4.0
MIRC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.ksi_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,3.0
MIRC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar23.AVG15m.oifits,MYSTIC_L2.2026Mar23.bet_Dra.MIRCX_IDL.nc5_lbd_clean_2026Mar24.AVG15m.oifits,3.0
MIRC_L2.2026Apr04.alf_CMi.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.alf_CMi.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,6.0
MIRC_L2.2026Apr04.109_Her.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.109_Her.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,3.0
MIRC_L2.2026Apr04.alf_Vul.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.alf_Vul.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,4.0
MIRC_L2.2026Apr04.del_Boo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.del_Boo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,3.0
MIRC_L2.2026Apr04.eps_Leo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eps_Leo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,3.0
MIRC_L2.2026Apr04.eps_Vir.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eps_Vir.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,3.0
MIRC_L2.2026Apr04.eta_Boo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eta_Boo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,3.0
MIRC_L2.2026Apr04.eta_Cyg.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.eta_Cyg.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,2.0
MIRC_L2.2026Apr04.lam_Her.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.lam_Her.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,3.0
MIRC_L2.2026Apr04.mu._Leo.MIRCX_IDL.Hband.AVG10m.oifits,MYSTIC_L2.2026Apr04.mu._Leo.MIRCX_IDL.2026Apr04_first.AVG10m.oifits,3.0
MIRCX_L2.2025Aug27.ups_Aur.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.ups_Aur.MIRCX_IDL.2025Aug28.AVG10m.oifits,4.0
MIRCX_L2.2025Aug27.sig_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.sig_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,2.5
MIRCX_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.del_And.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,3.5
MIRCX_L2.2025Sep07.phi02_Ori.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.phi02_Ori.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,2.5
MIRCX_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.eps_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,2.5
MIRCX_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep07.gam_Tau.MIRCX_IDL.2025Sep08_Narsi.AVG10m.oifits,2.5
MIRC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.eps_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,4.5
MIRC_L2.2025Sep09.iot_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,MYSTIC_L2.2025Sep09.iot_Gem.MIRCX_IDL.2025Sep10_Narsi.AVG10m.oifits,2.5
MIRCX_L2.2025Jul25.V424_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.V424_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,4.0
MIRCX_L2.2025Jul20.zet_Cep.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.zet_Cep.MIRCX_IDL.2025Jul25.AVG15m.oifits,5.0
MIRCX_L2.2025Jul20.ups_Per.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.ups_Per.MIRCX_IDL.2025Jul25.AVG15m.oifits,3.0
MIRCX_L2.2025Jul22.ups_Per.MIRCX_IDL.2025Jul23.AVG15m.oifits,MYSTIC_L2.2025Jul22.ups_Per.MIRCX_IDL.2025Jul24.AVG15m.oifits,3.0
MIRCX_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.11_Lac.MIRCX_IDL.2025Jul26.AVG15m.oifits,3.0
MIRCX_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.alf_Cas.MIRCX_IDL.2025Jul25.AVG15m.oifits,5.0
MIRCX_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.HD_220369.MIRCX_IDL.2025Jul26.AVG15m.oifits,3.0
MIRCX_L2.2025Jun05.109_Her.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.109_Her.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,3.0
MIRCX_L2.2025Jun04.alf_Vul.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.alf_Vul.MIRCX_IDL.2025Jun05.AVG10m.oifits,4.0
MIRCX_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul25.AVG15m.oifits,MYSTIC_L2.2025Jul25.alf_Per.MIRCX_IDL.2025Jul26.AVG15m.oifits,3.0
MIRCX_L2.2025Aug27.alf_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,MYSTIC_L2.2025Aug27.alf_Per.MIRCX_IDL.2025Aug28.AVG10m.oifits,2.5
MIRCX_L2.2025Jul20.bet_Dra.MIRCX_IDL.2025Jul22.AVG15m.oifits,MYSTIC_L2.2025Jul20.bet_Dra.MIRCX_IDL.2025Jul25.AVG15m.oifits,3.0
MIRCX_L2.2025Jun05.bet_Dra.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.bet_Dra.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,3.0
MIRCX_L2.2025Jun05.eta_Her.MIRCX_IDL.2025Jun05.AVG10m.oifits,MYSTIC_L2.2025Jun05.eta_Her.MIRCX_IDL.2025Jun05_old.AVG10m.oifits,2.5
MIRCX_L2.2025Jun04.gam_Cep.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.gam_Cep.MIRCX_IDL.2025Jun05.AVG10m.oifits,3.0
MIRCX_L2.2025Jun04.iot_Cep.MIRCX_IDL.2025Jun04.AVG10m.oifits,MYSTIC_L2.2025Jun04.iot_Cep.MIRCX_IDL.2025Jun05.AVG10m.oifits,2.5